,SCHOOL_ID,NRC_DESC,COUNTY_DESC,ITEM_SUBJECT_AREA,GRADE,SUBGROUP_NAME,TOTAL_TESTED,MEAN_SCALE_SCORE_2017,MEAN_SCALE_SCORE_2018,MEAN_SCALE_SCORE_2019
102220,WILLIAM S HACKETT MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,8,All Students,151,267,583,589
102236,ARBOR HILL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,3,All Students,51,272,586,588
102248,ARBOR HILL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,3,All Students,53,277,582,593
102260,ARBOR HILL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,4,All Students,48,274,584,586
102271,ARBOR HILL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,4,All Students,51,267,586,584
102282,ARBOR HILL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,5,All Students,47,270,590,587
102295,ARBOR HILL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,5,All Students,46,255,584,590
102308,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,3,All Students,64,279,577,577
102323,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,3,All Students,63,293,579,575
102338,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,4,All Students,39,280,584,576
102353,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,4,All Students,41,258,586,579
102368,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,5,All Students,43,277,587,578
102383,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,5,All Students,41,286,581,588
102398,SHERIDAN PREPARATORY ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,3,All Students,61,282,584,584
102412,SHERIDAN PREPARATORY ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,3,All Students,61,271,584,585
102427,SHERIDAN PREPARATORY ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,4,All Students,51,279,583,585
102442,SHERIDAN PREPARATORY ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,4,All Students,52,256,580,580
102457,SHERIDAN PREPARATORY ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,5,All Students,50,272,581,584
102470,SHERIDAN PREPARATORY ACADEMY (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,5,All Students,50,260,580,583
102484,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,6,All Students,112,289,586,588
102498,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,6,All Students,108,286,587,593
102512,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,7,All Students,169,278,583,581
102527,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,7,All Students,152,276,585,583
102542,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,8,All Students,150,285,579,585
102557,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,8,All Students,98,240,579,580
102571,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS (ALBANY),Charters,ALBANY,ELA,3,All Students,57,300,608,601
102581,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS (ALBANY),Charters,ALBANY,Mathematics,3,All Students,56,293,594,595
102591,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS (ALBANY),Charters,ALBANY,ELA,4,All Students,52,295,605,610
102601,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS (ALBANY),Charters,ALBANY,Mathematics,4,All Students,52,296,594,597
102611,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS (ALBANY),Charters,ALBANY,ELA,5,All Students,37,294,607,605
102620,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS (ALBANY),Charters,ALBANY,Mathematics,5,All Students,38,301,602,599
102629,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS (ALBANY),Charters,ALBANY,ELA,3,All Students,53,310,603,598
102640,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS (ALBANY),Charters,ALBANY,Mathematics,3,All Students,54,295,596,596
102651,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS (ALBANY),Charters,ALBANY,ELA,4,All Students,48,296,606,608
102661,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS (ALBANY),Charters,ALBANY,Mathematics,4,All Students,47,288,594,597
102671,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS (ALBANY),Charters,ALBANY,ELA,5,All Students,37,301,603,602
102681,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS (ALBANY),Charters,ALBANY,Mathematics,5,All Students,36,293,595,604
102691,KIPP TECH VALLEY CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,5,All Students,91,305,595,593
102700,KIPP TECH VALLEY CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,5,All Students,94,300,592,594
102709,KIPP TECH VALLEY CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,6,All Students,93,305,601,603
102719,KIPP TECH VALLEY CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,6,All Students,93,300,599,602
102729,KIPP TECH VALLEY CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,7,All Students,68,321,609,608
102739,KIPP TECH VALLEY CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,7,All Students,69,319,606,606
102750,KIPP TECH VALLEY CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,8,All Students,43,318,611,612
102759,KIPP TECH VALLEY CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,8,All Students,44,328,620,617
102768,HENRY JOHNSON CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,3,All Students,63,297,602,599
102777,HENRY JOHNSON CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,3,All Students,63,287,603,598
102786,HENRY JOHNSON CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,4,All Students,53,292,611,603
102795,HENRY JOHNSON CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,4,All Students,52,282,601,601
102804,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,3,All Students,70,299,599,599
102815,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,3,All Students,70,309,604,605
102826,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,4,All Students,72,287,595,597
102836,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,4,All Students,70,283,597,597
102846,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,5,All Students,74,285,593,597
102857,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,5,All Students,74,290,597,603
102868,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,6,All Students,71,286,593,590
102878,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,6,All Students,71,287,593,597
102888,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,7,All Students,62,298,596,593
102900,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,7,All Students,60,290,592,587
102912,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,ELA,8,All Students,63,305,601,599
102922,ALBANY COMMUNITY CHARTER SCHOOL (ALBANY),Charters,ALBANY,Mathematics,8,All Students,62,283,601,608
103053,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL (ALBANY),Average Needs,ALBANY,ELA,7,All Students,65,319,604,602
103063,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,7,All Students,60,297,594,595
103073,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL (ALBANY),Average Needs,ALBANY,ELA,8,All Students,54,312,607,606
103083,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,8,All Students,37,268,592,599
103093,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL (ALBANY),Average Needs,ALBANY,ELA,3,All Students,46,313,609,603
103103,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,3,All Students,45,319,605,601
103114,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL (ALBANY),Average Needs,ALBANY,ELA,4,All Students,50,297,597,599
